0	Scientific collaboration and intellect drove atomic bomb development success.	[51665, 1104, 20632, 323, 17108, 23980, 25524, 13054, 4500, 2450, 13]	11	ok
1	Atomic bomb played a pivotal role in ending WWII.	[66957, 13054, 6476, 264, 60850, 3560, 304, 13696, 61130, 13]	10	ok
2	Historic nuclear endeavor transformed global landscape with unprecedented destructive power.	[50083, 292, 11499, 54914, 24411, 3728, 18921, 449, 31069, 40652, 2410, 13]	12	ok
3	The Manhattan Project was a secret US WWII atomic bomb project.	[791, 29890, 5907, 574, 264, 6367, 2326, 61130, 25524, 13054, 2447, 13]	12	ok
4	Manhattan Project history available online and on websites.	[1692, 26405, 5907, 3925, 2561, 2930, 323, 389, 13335, 13]	10	ok
5	Manhattan Project marks the start of nuclear age.	[1692, 26405, 5907, 15785, 279, 1212, 315, 11499, 4325, 13]	10	ok
6	The book complements existing literature on the atomic bombs.	[791, 2363, 1946, 1392, 6484, 17649, 389, 279, 25524, 33606, 13]	11	ok
7	"""Manhattan Project led US, UK, and Canada in WWII."""	[1, 1692, 26405, 5907, 6197, 2326, 11, 6560, 11, 323, 7008, 304, 61130, 1210]	14	problèmes de génération
8	US Army Corps of Engineers initiated Manhattan Project in June.	[2078, 13309, 31242, 315, 49796, 33230, 29890, 5907, 304, 5651, 13]	11	ok
9	Hanford's location near the Columbia River facilitated the project.	[74225, 8350, 596, 3813, 3221, 279, 19326, 11188, 72849, 279, 2447, 13]	12	ok
10	Facilitating sensitive discussions requires expertise and trauma understanding skills.	[29802, 76254, 16614, 20954, 7612, 19248, 323, 30988, 8830, 7512, 13]	11	ok
11	Restorative justice aims to repair harm caused by offenders.	[12698, 63465, 12437, 22262, 311, 13023, 11682, 9057, 555, 41702, 13]	11	ok
12	Restorative justice repairs harm caused by criminal behavior effectively.	[12698, 63465, 12437, 31286, 11682, 9057, 555, 9337, 7865, 13750, 13]	11	ok
13	Community panels facilitate offender accountability and victim reparations efforts.	[34868, 21988, 28696, 47753, 39242, 323, 11996, 77026, 811, 9045, 13]	11	ok
14	Criminal justice system faces unresolved issues and restorative justice principles.	[34, 58140, 12437, 1887, 12580, 81261, 4819, 323, 2800, 63465, 12437, 16565, 13]	13	ok
15	Crime affects communities in various ways and degrees always.	[92690, 22223, 10977, 304, 5370, 5627, 323, 12628, 2744, 13]	10	ok
16	Restorative justice promotes dialogue between victim and offender effectively.	[12698, 63465, 12437, 39990, 21976, 1990, 11996, 323, 47753, 13750, 13]	11	ok
17	Criminal justice differs from ADR in its state-offender relationship.	[34, 58140, 12437, 44642, 505, 362, 7842, 304, 1202, 1614, 12744, 1693, 5133, 13]	14	ok
18	Criminal justice is a state-offender relationship issue, not victim-offender.	[34, 58140, 12437, 374, 264, 1614, 12744, 1693, 5133, 4360, 11, 539, 11996, 12744, 1693, 13]	16	ok
19	Circles involve diverse stakeholders in conflict resolution discussions.	[34, 75363, 21736, 17226, 39210, 304, 12324, 11175, 20954, 13]	10	ok
20	Phloem transports photosynthetic products throughout the plant system.	[3438, 385, 336, 69169, 7397, 1910, 18015, 3956, 6957, 279, 6136, 1887, 13]	13	ok
21	Plant vascular tissues facilitate food and water distribution efficiently.	[55747, 64603, 39881, 28696, 3691, 323, 3090, 8141, 30820, 13]	10	ok
22	Plant tissues facilitate nutrient exchange through vascular system efficiently.	[55747, 39881, 28696, 50123, 9473, 1555, 64603, 1887, 30820, 13]	10	ok
23	Phloem transports photosynthetic products throughout the plant efficiently always.	[3438, 385, 336, 69169, 7397, 1910, 18015, 3956, 6957, 279, 6136, 30820, 2744, 13]	14	ok
24	Phloem cells transport water-based sap rich in sugars.	[3438, 385, 336, 7917, 7710, 3090, 6108, 35735, 9257, 304, 70913, 13]	12	ok
25	Water moves through xylem and phloem by bulk flow.	[29353, 11031, 1555, 865, 982, 76, 323, 1343, 385, 336, 555, 20155, 6530, 13]	14	ok
26	Sugar transport occurs through pressure flow in phloem cells.	[84514, 7710, 13980, 1555, 7410, 6530, 304, 1343, 385, 336, 7917, 13]	12	ok
27	Phloem transports photosynthesis products, while xylem circulates water and minerals.	[3438, 385, 336, 69169, 7397, 74767, 3956, 11, 1418, 865, 982, 76, 4319, 24031, 3090, 323, 34072, 13]	18	ok
28	Plant transport systems facilitate nutrient and water distribution efficiently.	[55747, 7710, 6067, 28696, 50123, 323, 3090, 8141, 30820, 13]	10	ok
29	The IWW had a large membership under Haywood's leadership.	[791, 358, 19522, 1047, 264, 3544, 16250, 1234, 18276, 6798, 596, 11692, 13]	13	ok
30	Immigrants led the Industrial Workers of the World movement.	[51839, 71336, 6197, 279, 25563, 36798, 315, 279, 4435, 7351, 13]	11	ok
31	Chinese workers arrived in the US for various jobs.	[46023, 7487, 11721, 304, 279, 2326, 369, 5370, 7032, 13]	10	ok
32	The Gilded Age reflected America's dual wealth and corruption.	[791, 480, 91354, 13381, 27000, 5270, 596, 19091, 12205, 323, 21948, 13]	12	ok
33	Economic and cultural tensions fueled anti-Chinese immigration sentiment nationwide.	[36, 32107, 323, 13042, 39510, 59461, 7294, 30653, 7496, 15443, 27065, 29054, 13]	13	ok
34	Rapid industrialization transformed America's economy and society suddenly.	[49, 44221, 13076, 2065, 24411, 5270, 596, 8752, 323, 8396, 15187, 13]	12	ok
