0	Scientific collaboration and intellect fueled the Manhattan Project's groundbreaking achievement.	[51665, 1104, 20632, 323, 17108, 59461, 279, 29890, 5907, 596, 64955, 26501, 13]	13	ok
1	The Manhattan Project ended World War II with lasting scientific impact.	[791, 29890, 5907, 9670, 4435, 5111, 8105, 449, 29869, 12624, 5536, 13]	12	ok
2	The Manhattan Project successfully created the world's first atomic bomb.	[791, 29890, 5907, 7946, 3549, 279, 1917, 596, 1176, 25524, 13054, 13]	12	ok
3	The Manhattan Project was a secret US wartime atomic bomb initiative.	[791, 29890, 5907, 574, 264, 6367, 2326, 87952, 25524, 13054, 20770, 13]	12	ok
4	The Manhattan Project history is available online at cfo.doe.gov.	[791, 29890, 5907, 3925, 374, 2561, 2930, 520, 272, 831, 962, 4748, 14489, 13]	14	ok
5	Manhattan Project marks the dawn of nuclear age history.	[1692, 26405, 5907, 15785, 279, 39493, 315, 11499, 4325, 3925, 13]	11	ok
6	The book provides a concise overview of atomic bombs briefly.	[791, 2363, 5825, 264, 64694, 24131, 315, 25524, 33606, 27851, 13]	11	ok
7	"""Manhattan Project led to the development of nuclear weapons."""	[1, 1692, 26405, 5907, 6197, 311, 279, 4500, 315, 11499, 10094, 1210]	12	problèmes de génération
8	The Manhattan Project initiated secret atomic bomb development efforts.	[791, 29890, 5907, 33230, 6367, 25524, 13054, 4500, 9045, 13]	10	ok
9	Hanford's strategic location near the Columbia River facilitated nuclear research.	[74225, 8350, 596, 19092, 3813, 3221, 279, 19326, 11188, 72849, 11499, 3495, 13]	13	ok
10	Expert facilitators guide sensitive discussions and support groups effectively.	[75392, 17028, 3046, 8641, 16614, 20954, 323, 1862, 5315, 13750, 13]	11	ok
11	Restorative justice aims to repair harm caused by offenders.	[12698, 63465, 12437, 22262, 311, 13023, 11682, 9057, 555, 41702, 13]	11	ok
12	Restorative justice focuses on repairing harm caused by criminal behavior.	[12698, 63465, 12437, 24400, 389, 68337, 11682, 9057, 555, 9337, 7865, 13]	12	ok
13	Community-led panels facilitate offender accountability and victim support.	[34868, 35054, 21988, 28696, 47753, 39242, 323, 11996, 1862, 13]	10	ok
14	Analyzing restorative justice principles in the US criminal justice system.	[74407, 20994, 2800, 63465, 12437, 16565, 304, 279, 2326, 9337, 12437, 1887, 13]	13	ok
15	Crime affects communities in various ways and degrees always.	[92690, 22223, 10977, 304, 5370, 5627, 323, 12628, 2744, 13]	10	ok
16	Restorative justice promotes victim satisfaction and offender accountability effectively.	[12698, 63465, 12437, 39990, 11996, 24617, 323, 47753, 39242, 13750, 13]	11	ok
17	Criminal justice differs from civil disputes in its state-centric approach.	[34, 58140, 12437, 44642, 505, 8431, 42254, 304, 1202, 1614, 65524, 5603, 13]	13	ok
18	Criminal justice is a state-offender relationship rather than victim-offender dispute.	[34, 58140, 12437, 374, 264, 1614, 12744, 1693, 5133, 4856, 1109, 11996, 12744, 1693, 26086, 13]	16	ok
19	Circles involve diverse stakeholders in conflict resolution discussions.	[34, 75363, 21736, 17226, 39210, 304, 12324, 11175, 20954, 13]	10	ok
20	Phloem transports photosynthetic products throughout the plant system.	[3438, 385, 336, 69169, 7397, 1910, 18015, 3956, 6957, 279, 6136, 1887, 13]	13	ok
21	Plant vascular tissues facilitate food and water distribution efficiently always.	[55747, 64603, 39881, 28696, 3691, 323, 3090, 8141, 30820, 2744, 13]	11	ok
22	Plant vascular tissues facilitate food and water transport efficiently always.	[55747, 64603, 39881, 28696, 3691, 323, 3090, 7710, 30820, 2744, 13]	11	ok
23	Phloem transports plant products from leaves to other parts.	[3438, 385, 336, 69169, 6136, 3956, 505, 11141, 311, 1023, 5596, 13]	12	ok
24	Phloem cells transport water-rich, sugar-rich sap throughout the plant.	[3438, 385, 336, 7917, 7710, 3090, 41947, 11, 13465, 41947, 35735, 6957, 279, 6136, 13]	15	ok
25	Water moves through xylem and phloem via bulk flow mechanisms.	[29353, 11031, 1555, 865, 982, 76, 323, 1343, 385, 336, 4669, 20155, 6530, 24717, 13]	15	ok
26	Sugar transport through phloem facilitated by active transport mechanisms.	[84514, 7710, 1555, 1343, 385, 336, 72849, 555, 4642, 7710, 24717, 13]	12	ok
27	Phloem transports photosynthetic products, while xylem circulates water and minerals.	[3438, 385, 336, 69169, 7397, 1910, 18015, 3956, 11, 1418, 865, 982, 76, 4319, 24031, 3090, 323, 34072, 13]	19	ok
28	Plant vascular system transports essential nutrients and water throughout the plant.	[55747, 64603, 1887, 69169, 7718, 37493, 323, 3090, 6957, 279, 6136, 13]	12	ok
29	The Industrial Workers of the World had significant growth.	[791, 25563, 36798, 315, 279, 4435, 1047, 5199, 6650, 13]	10	ok
30	Immigrants led the Industrial Workers of the World movement.	[51839, 71336, 6197, 279, 25563, 36798, 315, 279, 4435, 7351, 13]	11	ok
31	Chinese workers arrived in the US for various economic opportunities.	[46023, 7487, 11721, 304, 279, 2326, 369, 5370, 7100, 10708, 13]	11	ok
32	The Gilded Age of American industrialization and social disparity.	[791, 480, 91354, 13381, 315, 3778, 13076, 2065, 323, 3674, 66949, 13]	12	ok
33	Economic and cultural tensions fueled anti-Chinese immigration in America.	[36, 32107, 323, 13042, 39510, 59461, 7294, 30653, 7496, 15443, 304, 5270, 13]	13	ok
34	Rapid industrialization transformed America's economy and society dramatically overnight.	[49, 44221, 13076, 2065, 24411, 5270, 596, 8752, 323, 8396, 29057, 25402, 13]	13	ok
