QID	nDCG@10	MRR	Rel_Found
1102432	0.0000	0.0000	
1102431	0.0000	0.0000	
1090282	0.0000	0.0000	
39449	0.0000	0.0000	
76162	0.0000	0.0000	
195512	0.0000	0.0000	
1090280	0.0000	0.0000	
331318	0.0000	0.0000	
300674	0.0000	0.0000	
15177	0.0000	0.0000	
125705	0.0000	0.0000	
85224	0.0000	0.0000	
114414	0.0000	0.0000	
280709	0.0000	0.0000	
302299	0.0000	0.0000	
94798	0.0000	0.0000	
1090278	0.0000	0.0000	
44932	0.0000	0.0000	
202671	0.0000	0.0000	
9083	0.0000	0.0000	
174249	0.0000	0.0000	
230982	0.0000	0.0000	
281439	0.0000	0.0000	
177008	0.0000	0.0000	
1090275	0.0000	0.0000	
271872	0.0000	0.0000	
40287	0.0000	0.0000	
50983	0.0000	0.0000	
1090274	0.0000	0.0000	
180613	0.0000	0.0000	
263012	0.0000	0.0000	
278291	0.0000	0.0000	
150649	0.0000	0.0000	
277271	0.0000	0.0000	
330883	0.0000	0.0000	
79604	0.0000	0.0000	
319445	0.0000	0.0000	
320792	0.0000	0.0000	
266264	0.0000	0.0000	
1090270	0.0000	0.0000	
74647	0.0000	0.0000	
70930	0.0000	0.0000	
289403	0.0000	0.0000	
67857	0.0000	0.0000	
18312	0.0000	0.0000	
1101279	0.0000	0.0000	
1090269	0.0000	0.0000	
94209	0.0000	0.0000	
96252	0.0000	0.0000	
179740	0.3155	0.1250	7067953
264835	0.0000	0.0000	
74014	0.0000	0.0000	
196812	0.0000	0.0000	
318390	0.0000	0.0000	
281558	0.0000	0.0000	
312973	0.0000	0.0000	
216125	0.0000	0.0000	
201376	0.0000	0.0000	
236184	0.0000	0.0000	
1090267	0.0000	0.0000	
50864	0.0000	0.0000	
217210	0.0000	0.0000	
92763	0.0000	0.0000	
115753	1.0000	1.0000	7068194
54544	0.0000	0.0000	
1090266	0.0000	0.0000	
310726	0.0000	0.0000	
12658	0.0000	0.0000	
25290	0.0000	0.0000	
76098	0.0000	0.0000	
1090265	0.0000	0.0000	
76705	0.0000	0.0000	
1090264	0.0000	0.0000	
24567	0.0000	0.0000	
118000	0.0000	0.0000	
118457	0.0000	0.0000	
190280	0.0000	0.0000	
178627	0.0000	0.0000	
1090263	0.0000	0.0000	
270583	0.0000	0.0000	
137145	0.4307	0.2500	7068569
12966	0.0000	0.0000	
177650	0.0000	0.0000	
164617	0.0000	0.0000	
1090262	0.0000	0.0000	
180171	0.0000	0.0000	
90746	0.0000	0.0000	
352759	0.0000	0.0000	
